# water.dat

processed
-1884.0 -114.0 0.0 0.0 0.0 0.25 0.0	-1556.0 -114.0 0.0 0.0 0.0 0.25 0.0	-1884.0 -102.0 0.0 0.0 0.0 0.25 0.0	-1556.0 -102.0 0.0 0.0 0.0 0.25 0.0  1
2340.0 -140.0 -0.0004 0.0 0.0 0.25 0.0	2376.0 -140.0 -0.0004 0.0 0.0 0.25 0.0	2340.0 -104.0 -0.0004 0.0 0.0 0.25 0.0	2376.0 -104.0 -0.0004 0.0 0.0 0.25 0.0  1
2376.0 -140.0 -0.0003 0.0 0.0 0.25 0.0	2412.0 -140.0 -0.0003 0.0 0.0 0.25 0.0	2376.0 -68.0 -0.0003 0.0 0.0 0.25 0.0	2412.0 -68.0 -0.0003 0.0 0.0 0.25 0.0  1
2332.0 -800.0 -0.0001 0.0 0.0 0.25 0.0	2800.0 -800.0 -0.0001 0.0 0.0 0.25 0.0	2332.0 -140.0 -0.0001 0.0 0.0 0.25 0.0	2800.0 -140.0 -0.0001 0.0 0.0 0.25 0.0  1
1200.0 -800.0 0.0 0.0 0.0 0.25 0.0	1400.0 -800.0 0.0 0.0 0.0 0.25 0.0	1200.0 -690.0 0.0 0.0 0.0 0.25 0.0	1400.0 -690.0 0.0 0.0 0.0 0.25 0.0  1
2400.0 -2400.0 0.0 0.0 0.0 0.25 0.0	3000.0 -2400.0 0.0 0.0 0.0 0.25 0.0	2400.0 -800.0 0.0 0.0 0.0 0.25 0.0	3000.0 -800.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -2400.0 0.0 0.0 0.0 0.25 0.0	2400.0 -2400.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -1600.0 0.0 0.0 0.0 0.25 0.0	2400.0 -1600.0 0.0 0.0 0.0 0.25 0.0  1
1300.0 -690.0 0.0001 0.0 0.0 0.25 0.0	1400.0 -690.0 0.0001 0.0 0.0 0.25 0.0	1300.0 -570.0 0.0001 0.0 0.0 0.25 0.0	1400.0 -570.0 0.0001 0.0 0.0 0.25 0.0  1
800.0 -1600.0 0.0001 0.0 0.0 0.25 0.0	2400.0 -1600.0 0.0001 0.0 0.0 0.25 0.0	800.0 -800.0 0.0001 0.0 0.0 0.25 0.0	2400.0 -800.0 0.0001 0.0 0.0 0.25 0.0  1
-3000.0 -1600.0 0.0 0.0 0.0 0.25 0.0	-712.0 -1600.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -800.0 0.0 0.0 0.0 0.25 0.0	-712.0 -800.0 0.0 0.0 0.0 0.25 0.0  1
1126.0 -654.0 12.2 0.0 0.0 0.25 0.0	1134.0 -654.0 12.2 0.0 0.0 0.25 0.0	1126.0 -642.0 12.2 0.0 0.0 0.25 0.0	1134.0 -642.0 12.2 0.0 0.0 0.25 0.0  1
1128.0 -662.0 12.2 0.0 0.0 0.25 0.0	1136.0 -662.0 12.2 0.0 0.0 0.25 0.0	1128.0 -654.0 12.2 0.0 0.0 0.25 0.0	1136.0 -654.0 12.2 0.0 0.0 0.25 0.0  1
-400.0 -1600.0 0.0 0.0 0.0 0.25 0.0	400.0 -1600.0 0.0 0.0 0.0 0.25 0.0	-400.0 -1072.0 0.0 0.0 0.0 0.25 0.0	400.0 -1072.0 0.0 0.0 0.0 0.25 0.0  1
-340.0 -800.0 0.0 0.0 0.0 0.25 0.0	-256.0 -800.0 0.0 0.0 0.0 0.25 0.0	-340.0 -648.0 0.0 0.0 0.0 0.25 0.0	-256.0 -648.0 0.0 0.0 0.0 0.25 0.0  1
1124.0 -662.0 12.2 0.0 0.0 0.25 0.0	1128.0 -662.0 12.2 0.0 0.0 0.25 0.0	1124.0 -654.0 12.2 0.0 0.0 0.25 0.0	1128.0 -654.0 12.2 0.0 0.0 0.25 0.0  1
1120.0 -660.0 12.2 0.0 0.0 0.25 0.0	1124.0 -660.0 12.2 0.0 0.0 0.25 0.0	1120.0 -656.0 12.2 0.0 0.0 0.25 0.0	1124.0 -656.0 12.2 0.0 0.0 0.25 0.0  1
1112.0 -662.0 12.2 0.0 0.0 0.25 0.0	1120.0 -662.0 12.2 0.0 0.0 0.25 0.0	1112.0 -654.0 12.2 0.0 0.0 0.25 0.0	1120.0 -654.0 12.2 0.0 0.0 0.25 0.0  1
1132.0 -642.0 12.2 0.0 0.0 0.25 0.0	1136.0 -642.0 12.2 0.0 0.0 0.25 0.0	1132.0 -634.0 12.2 0.0 0.0 0.25 0.0	1136.0 -634.0 12.2 0.0 0.0 0.25 0.0  1
260.0 -800.0 0.0002 0.0 0.0 0.25 0.0	476.0 -800.0 0.0002 0.0 0.0 0.25 0.0	260.0 -720.0 0.0002 0.0 0.0 0.25 0.0	476.0 -720.0 0.0002 0.0 0.0 0.25 0.0  1
260.0 -884.0 0.0001 0.0 0.0 0.25 0.0	400.0 -884.0 0.0001 0.0 0.0 0.25 0.0	260.0 -800.0 0.0001 0.0 0.0 0.25 0.0	400.0 -800.0 0.0001 0.0 0.0 0.25 0.0  1
-1144.0 -800.0 0.0 0.0 0.0 0.25 0.0	-800.0 -800.0 0.0 0.0 0.0 0.25 0.0	-1144.0 -668.0 0.0 0.0 0.0 0.25 0.0	-800.0 -668.0 0.0 0.0 0.0 0.25 0.0  1
-400.0 -920.0 -0.0001 0.0 0.0 0.25 0.0	-196.0 -920.0 -0.0001 0.0 0.0 0.25 0.0	-400.0 -884.0 -0.0001 0.0 0.0 0.25 0.0	-196.0 -884.0 -0.0001 0.0 0.0 0.25 0.0  1
